<-2.674795, 5.697576, -2.207113>, <-4.882482, 4.331402, -1.362773>, 
<-2.674795, 5.697576, -2.207113>, <-1.312092, 6.541092, -1.2e-05>, 
<-2.674795, 5.697576, -2.207113>, <-1.362786, 4.882486, -4.331423>, 
<4.882473, 4.331411, -1.362771>, <2.674761, 5.697568, -2.207108>, 
<4.882473, 4.331411, -1.362771>, <4.882487, 4.331428, 1.362765>, 
<4.882473, 4.331411, -1.362771>, <5.697561, 2.207105, -2.674782>, 
<1.362786, -4.882486, 4.331423>, <-1.362746, -4.88248, 4.331412>, 
<1.362786, -4.882486, 4.331423>, <2.207115, -2.674774, 5.697561>, 
<1.362786, -4.882486, 4.331423>, <2.674794, -5.697576, 2.207113>, 
<5.69757, -2.207089, 2.674774>, <6.541096, 2e-05, 1.312073>, 
<5.69757, -2.207089, 2.674774>, <4.331418, -1.362758, 4.88247>, 
<5.69757, -2.207089, 2.674774>, <4.882482, -4.331402, 1.362773>, 
<-5.697561, -2.207105, 2.674782>, <-6.541092, -1.2e-05, 1.31209>, 
<-5.697561, -2.207105, 2.674782>, <-4.331398, -1.362763, 4.882488>, 
<-5.697561, -2.207105, 2.674782>, <-4.882474, -4.331411, 1.362771>, 
<-1.362746, -4.88248, 4.331412>, <1.362786, -4.882486, 4.331423>, 
<-1.362746, -4.88248, 4.331412>, <-2.207088, -2.674772, 5.697571>, 
<-1.362746, -4.88248, 4.331412>, <-2.674761, -5.697568, 2.207109>, 
<-4.882482, 4.331402, -1.362773>, <-2.674795, 5.697576, -2.207113>, 
<-4.882482, 4.331402, -1.362773>, <-4.88248, 4.331403, 1.362773>, 
<-4.882482, 4.331402, -1.362773>, <-5.697571, 2.20709, -2.674774>, 
<-6.541092, -1.2e-05, 1.31209>, <-5.697561, -2.207105, 2.674782>, 
<-6.541092, -1.2e-05, 1.31209>, <-5.697563, 2.207097, 2.674788>, 
<-6.541092, -1.2e-05, 1.31209>, <-6.541096, -2e-05, -1.312074>, 
<2.674761, 5.697568, -2.207108>, <4.882473, 4.331411, -1.362771>, 
<2.674761, 5.697568, -2.207108>, <1.31207, 6.541095, -9e-06>, 
<2.674761, 5.697568, -2.207108>, <1.362746, 4.88248, -4.331412>, 
<6.541096, 2e-05, 1.312073>, <5.69757, -2.207089, 2.674774>, 
<6.541096, 2e-05, 1.312073>, <5.697581, 2.207121, 2.674775>, 
<6.541096, 2e-05, 1.312073>, <6.541092, 1.3e-05, -1.312091>, 
<-2.674775, -5.697567, -2.207102>, <-4.882488, -4.331427, -1.362766>, 
<-2.674775, -5.697567, -2.207102>, <-1.312069, -6.541095, 9e-06>, 
<-2.674775, -5.697567, -2.207102>, <-1.362764, -4.882478, -4.331408>, 
<-4.331414, -1.362787, -4.882467>, <-4.331417, 1.362759, -4.88247>, 
<-4.331414, -1.362787, -4.882467>, <-5.697581, -2.207121, -2.674775>, 
