<2.2683544, -2.5192597, 2.459512>, <2.7425685, -1.992591, 1.229756>, 
<2.2683544, -2.5192597, 2.459512>, <1.0475681, -3.2240815, 2.459512>, 
<2.2683544, -2.5192597, 2.459512>, <2.7425685, -1.992591, 3.6892681>, 
<3.3900001, 2.20920447e-06, 2.459512>, <3.3159204, -0.70482087, 1.229756>, 
<3.3900001, 2.20920447e-06, 2.459512>, <3.0969188, 1.3788378, 2.459512>, 
<3.3900001, 2.20920447e-06, 2.459512>, <3.3159211, -0.70481771, 3.6892681>, 
<3.0969188, 1.3788378, 2.459512>, <2.7425678, 1.9925921, 1.229756>, 
<3.0969188, 1.3788378, 2.459512>, <3.3900001, 2.20920447e-06, 2.459512>, 
<3.0969188, 1.3788378, 2.459512>, <2.7425659, 1.9925946, 3.6892681>, 
<-1.0475678, 3.2240815, 3.6892681>, <-0.35435167, 3.3714292, 2.459512>, 
<-1.0475678, 3.2240815, 3.6892681>, <-2.268353, 2.5192609, 3.6892681>, 
<-1.0475678, 3.2240815, 3.6892681>, <-0.35435385, 3.371429, 4.919024>, 
<-2.268353, 2.5192609, 3.6892681>, <-2.7425678, 1.9925919, 2.459512>, 
<-2.268353, 2.5192609, 3.6892681>, <-1.0475678, 3.2240815, 3.6892681>, 
<-2.268353, 2.5192609, 3.6892681>, <-2.7425678, 1.9925919, 4.919024>, 
<-3.3900001, -2.96363226e-07, 3.6892681>, <-3.3159206, 0.70482039, 2.459512>, 
<-3.3900001, -2.96363226e-07, 3.6892681>, <-3.0969191, -1.3788376, 3.6892681>, 
<-3.3900001, -2.96363226e-07, 3.6892681>, <-3.3159206, 0.70482039, 4.919024>, 
<-3.0969191, -1.3788376, 3.6892681>, <-2.7425675, -1.9925923, 2.459512>, 
<-3.0969191, -1.3788376, 3.6892681>, <-3.3900001, -2.96363226e-07, 3.6892681>, 
<-3.0969191, -1.3788376, 3.6892681>, <-2.7425675, -1.9925923, 4.919024>, 
<-1.047568, -3.2240815, 3.6892681>, <-1.6949997, -2.9358263, 2.459512>, 
<-1.047568, -3.2240815, 3.6892681>, <0.35435274, -3.3714292, 3.6892681>, 
<-1.047568, -3.2240815, 3.6892681>, <-1.6949997, -2.9358263, 4.919024>, 
<0.35435274, -3.3714292, 3.6892681>, <1.0475681, -3.2240815, 2.459512>, 
<0.35435274, -3.3714292, 3.6892681>, <-1.047568, -3.2240815, 3.6892681>, 
<0.35435274, -3.3714292, 3.6892681>, <1.0475681, -3.2240815, 4.919024>, 
<2.7425685, -1.992591, 3.6892681>, <2.2683544, -2.5192597, 2.459512>, 
<2.7425685, -1.992591, 3.6892681>, <3.3159211, -0.70481771, 3.6892681>, 
<2.7425685, -1.992591, 3.6892681>, <2.2683544, -2.5192597, 4.919024>, 
<3.3159211, -0.70481771, 3.6892681>, <3.3900001, 2.20920447e-06, 2.459512>, 
<3.3159211, -0.70481771, 3.6892681>, <2.7425685, -1.992591, 3.6892681>, 
<3.3159211, -0.70481771, 3.6892681>, <3.3900001, 2.20920447e-06, 4.919024>, 
<2.7425659, 1.9925946, 3.6892681>, <3.0969188, 1.3788378, 2.459512>, 
<2.7425659, 1.9925946, 3.6892681>, <1.6949987, 2.935827, 3.6892681>, 
<2.7425659, 1.9925946, 3.6892681>, <3.0969176, 1.3788408, 4.919024>, 
<1.6949987, 2.935827, 3.6892681>, <1.0475675, 3.2240818, 2.459512>, 
<1.6949987, 2.935827, 3.6892681>, <2.7425659, 1.9925946, 3.6892681>, 
<1.6949987, 2.935827, 3.6892681>, <1.0475639, 3.2240829, 4.919024>, 
<-2.7425678, 1.9925919, 4.919024>, <-2.268353, 2.5192609, 3.6892681>, 
<-2.7425678, 1.9925919, 4.919024>, <-3.3159206, 0.70482039, 4.919024>, 
<-2.7425678, 1.9925919, 4.919024>, <-2.2683551, 2.519259, 6.1487799>, 
<-3.3159206, 0.70482039, 4.919024>, <-3.3900001, -2.96363226e-07, 3.6892681>, 
<-3.3159206, 0.70482039, 4.919024>, <-2.7425678, 1.9925919, 4.919024>, 
<-3.3159206, 0.70482039, 4.919024>, <-3.3900001, -2.96363226e-07, 6.1487799>, 
<-2.7425675, -1.9925923, 4.919024>, <-3.0969191, -1.3788376, 3.6892681>, 
<-2.7425675, -1.9925923, 4.919024>, <-1.6949997, -2.9358263, 4.919024>, 
<-2.7425675, -1.9925923, 4.919024>, <-3.0969191, -1.3788376, 6.1487799>, 
<-1.6949997, -2.9358263, 4.919024>, <-1.047568, -3.2240815, 3.6892681>, 
<-1.6949997, -2.9358263, 4.919024>, <-2.7425675, -1.9925923, 4.919024>, 
<-1.6949997, -2.9358263, 4.919024>, <-1.047568, -3.2240815, 6.1487799>, 
<1.0475681, -3.2240815, 4.919024>, <0.35435274, -3.3714292, 3.6892681>, 
<1.0475681, -3.2240815, 4.919024>, <2.2683544, -2.5192597, 4.919024>, 
<1.0475681, -3.2240815, 4.919024>, <0.35435274, -3.3714292, 6.1487799>, 
<2.2683544, -2.5192597, 4.919024>, <2.7425685, -1.992591, 3.6892681>, 
<2.2683544, -2.5192597, 4.919024>, <1.0475681, -3.2240815, 4.919024>, 
<2.2683544, -2.5192597, 4.919024>, <2.7425685, -1.992591, 6.1487799>, 
<3.3900001, 2.20920447e-06, 4.919024>, <3.3159211, -0.70481771, 3.6892681>, 
<3.3900001, 2.20920447e-06, 4.919024>, <3.0969176, 1.3788408, 4.919024>, 
<3.3900001, 2.20920447e-06, 4.919024>, <3.3159211, -0.70481771, 6.1487799>, 
<3.0969176, 1.3788408, 4.919024>, <2.7425659, 1.9925946, 3.6892681>, 
<3.0969176, 1.3788408, 4.919024>, <3.3900001, 2.20920447e-06, 4.919024>, 
<3.0969176, 1.3788408, 4.919024>, <2.7425659, 1.9925946, 6.1487799>, 
<1.0475639, 3.2240829, 4.919024>, <1.6949987, 2.935827, 3.6892681>, 
<1.0475639, 3.2240829, 4.919024>, <-0.35435385, 3.371429, 4.919024>, 
<1.0475639, 3.2240829, 4.919024>, <1.694996, 2.9358287, 6.1487799>, 
<-0.35435385, 3.371429, 4.919024>, <-1.0475678, 3.2240815, 3.6892681>, 
<-0.35435385, 3.371429, 4.919024>, <1.0475639, 3.2240829, 4.919024>, 
<-0.35435385, 3.371429, 4.919024>, <-1.0475723, 3.2240801, 6.1487799>, 
<-3.3900001, -2.96363226e-07, 6.1487799>, <-3.3159206, 0.70482039, 4.919024>, 
<-3.3900001, -2.96363226e-07, 6.1487799>, <-3.0969191, -1.3788376, 6.1487799>, 
<-3.3900001, -2.96363226e-07, 6.1487799>, <-3.3159213, 0.70481664, 7.3785357>, 
<-3.0969191, -1.3788376, 6.1487799>, <-2.7425675, -1.9925923, 4.919024>, 
<-3.0969191, -1.3788376, 6.1487799>, <-3.3900001, -2.96363226e-07, 6.1487799>, 
<-3.0969191, -1.3788376, 6.1487799>, <-2.7425675, -1.9925923, 7.3785357>, 
<-1.047568, -3.2240815, 6.1487799>, <-1.6949997, -2.9358263, 4.919024>, 
